Year,Energy from renewable & waste sources,Total energy consumption of primary fuels and equivalents,Fraction from renewable sources and waste,Hydroelectric power,"Wind, wave, tidal",Landfill gas,Sewage gas,Municipal solid waste (MSW),Poultry litter,Wood,Charcoal,Biodiesel,Biomass
1990,1.647,225.532,0.007,0.448,0.001,0.08,0.138,0.183,0.0,0.687,0.039,0.0,0.065
1991,1.634,231.288,0.007,0.398,0.001,0.105,0.151,0.185,0.0,0.687,0.036,0.0,0.065
1992,1.843,228.696,0.008,0.467,0.003,0.155,0.151,0.21,0.016,0.736,0.033,0.0,0.065
1993,1.862,231.368,0.008,0.37,0.019,0.162,0.158,0.268,0.043,0.736,0.034,0.0,0.065
1994,2.528,230.739,0.011,0.438,0.03,0.188,0.17,0.385,0.101,1.108,0.034,0.0,0.065
1995,2.644,230.886,0.011,0.416,0.034,0.199,0.193,0.411,0.101,1.182,0.035,0.0,0.065
1996,2.581,243.392,0.011,0.292,0.042,0.249,0.193,0.396,0.101,1.194,0.041,0.0,0.065
1997,2.611,240.756,0.011,0.378,0.057,0.317,0.192,0.465,0.101,0.991,0.038,0.0,0.065
1998,3.013,246.79,0.012,0.44,0.075,0.402,0.181,0.649,0.112,1.077,0.04,0.0,0.029
1999,3.148,246.112,0.013,0.459,0.073,0.572,0.189,0.633,0.148,0.959,0.033,0.0,0.074
2000,3.164,248.037,0.013,0.437,0.081,0.731,0.169,0.678,0.159,0.766,0.036,0.0,0.09
2001,3.27,252.807,0.013,0.348,0.083,0.836,0.168,0.731,0.199,0.716,0.033,0.0,0.078
2002,3.575,244.98,0.015,0.412,0.108,0.892,0.174,0.795,0.195,0.716,0.035,0.002,0.183
2003,3.802,248.011,0.015,0.278,0.111,1.088,0.165,0.816,0.181,0.719,0.037,0.016,0.301
2004,4.407,249.249,0.018,0.418,0.166,1.327,0.177,0.79,0.164,0.778,0.04,0.017,0.434
2005,5.026,249.704,0.02,0.423,0.25,1.421,0.206,0.794,0.158,1.019,0.036,0.027,0.393
2006,5.38,243.557,0.022,0.395,0.363,1.465,0.19,0.856,0.147,0.992,0.035,0.139,0.458
2007,5.579,239.041,0.023,0.437,0.453,1.547,0.211,0.882,0.152,0.96,0.034,0.285,0.386
2008,6.463,235.284,0.027,0.442,0.612,1.554,0.23,0.91,0.179,1.206,0.031,0.729,0.322
2009,7.258,220.872,0.033,0.45,0.798,1.626,0.249,1.089,0.176,1.214,0.033,0.859,0.462
2010,7.94,227.221,0.035,0.309,0.884,1.725,0.295,1.093,0.182,1.398,0.05,0.862,0.622
2011,8.846,213.972,0.041,0.489,1.373,1.758,0.318,1.087,0.212,1.537,0.048,0.765,0.674
2012,9.523,216.058,0.044,0.457,1.707,1.722,0.306,1.26,0.196,1.811,0.049,0.522,0.586
2013,11.238,213.781,0.053,0.4,2.442,1.711,0.32,1.182,0.207,2.518,0.082,0.63,0.657
2014,13.332,202.499,0.066,0.51,2.748,1.664,0.343,1.464,0.208,3.133,0.082,0.785,1.064
2015,16.075,203.941,0.079,0.54,3.463,1.612,0.366,1.952,0.222,4.166,0.08,0.554,1.308
2016,16.75,202.261,0.083,0.46,3.195,1.556,0.387,2.392,0.227,4.164,0.053,0.586,1.365
2017,18.656,197.273,0.095,0.51,4.268,1.419,0.398,2.561,0.216,4.236,0.089,0.574,1.751
2018,21.034,198.125,0.106,0.47,4.893,1.298,0.407,2.932,0.214,4.913,0.107,0.939,2.071
2019,22.871,192.5,0.119,0.5,5.485,1.202,0.434,3.255,0.222,5.37,0.068,1.319,2.121
2020,24.472,169.439,0.144,0.58,6.481,1.16,0.44,3.367,0.223,5.478,0.074,1.335,2.469
